==================== 2026-06-23T23:01:50.340768Z | 00000000-0000-0000-0000-000000000000 ====================
23:10:05.502036 [info ]: Loading ~/.dbt/profiles.yml
23:10:10.791994 [info ]: Loading ~/.dbt/profiles.yml
23:11:02.933465 [info ]: Loading ~/.dbt/profiles.yml
23:11:48.282245 [info ]: Loading ~/.dbt/profiles.yml
23:12:54.440581 [info ]: Loading ~/.dbt/profiles.yml
23:13:16.801635 [info ]: Loading ~/.dbt/profiles.yml
23:13:17.274136 [info ]: Loading ~/.dbt/profiles.yml
23:20:19.204372 [info ]: Loading ~/.dbt/profiles.yml
23:20:26.259113 [info ]: Loading ~/.dbt/profiles.yml
23:20:26.705150 [info ]: Loading ~/.dbt/profiles.yml
23:25:35.594945 [info ]: Loading ~/.dbt/profiles.yml
23:25:47.692469 [info ]: Loading ~/.dbt/profiles.yml
23:26:40.217930 [info ]: Loading ~/.dbt/profiles.yml
23:28:48.733816 [info ]: Loading ~/.dbt/profiles.yml
23:29:20.282796 [info ]: Loading ~/.dbt/profiles.yml
23:29:31.601026 [info ]: Loading ~/.dbt/profiles.yml
23:31:57.047207 [info ]: Loading ~/.dbt/profiles.yml
23:32:27.444513 [info ]: Loading ~/.dbt/profiles.yml
23:33:26.483901 [info ]: Loading ~/.dbt/profiles.yml
23:33:27.395791 [info ]: Loading ~/.dbt/profiles.yml
23:33:27.760441 [info ]: Loading ~/.dbt/profiles.yml
23:34:04.811050 [info ]: Loading ~/.dbt/profiles.yml
23:34:51.313758 [info ]: Loading ~/.dbt/profiles.yml
23:35:27.241028 [info ]: Loading ~/.dbt/profiles.yml
16:49:53.791171 [info ]: Loading ~/.dbt/profiles.yml
16:50:31.715372 [info ]: Loading ~/.dbt/profiles.yml
16:53:41.877211 [info ]: Loading ~/.dbt/profiles.yml
16:53:48.685772 [info ]: Loading ~/.dbt/profiles.yml
16:59:36.526366 [info ]: Loading ~/.dbt/profiles.yml
17:00:26.214471 [info ]: Loading ~/.dbt/profiles.yml
17:00:35.859597 [info ]: Loading ~/.dbt/profiles.yml
17:00:37.746075 [info ]: Loading ~/.dbt/profiles.yml
17:00:53.967880 [info ]: Loading ~/.dbt/profiles.yml
17:00:55.512546 [info ]: Loading ~/.dbt/profiles.yml
17:01:06.893172 [info ]: Loading ~/.dbt/profiles.yml
17:03:02.062351 [info ]: Loading ~/.dbt/profiles.yml
17:03:09.676734 [info ]: Loading ~/.dbt/profiles.yml
17:04:06.079920 [info ]: Loading ~/.dbt/profiles.yml
17:04:33.012473 [info ]: Loading ~/.dbt/profiles.yml
17:05:00.378724 [info ]: Loading ~/.dbt/profiles.yml
17:05:44.643708 [info ]: Loading ~/.dbt/profiles.yml
17:05:45.143707 [info ]: Loading ~/.dbt/profiles.yml
17:06:01.991171 [info ]: Loading ~/.dbt/profiles.yml
17:06:03.449507 [info ]: Loading ~/.dbt/profiles.yml
17:06:18.848506 [info ]: Loading ~/.dbt/profiles.yml
17:08:44.740408 [info ]: Loading ~/.dbt/profiles.yml
17:08:53.100382 [info ]: Loading ~/.dbt/profiles.yml
17:18:23.127882 [info ]: Loading ~/.dbt/profiles.yml
17:20:14.892796 [info ]: Loading ~/.dbt/profiles.yml
17:20:22.002675 [info ]: Loading ~/.dbt/profiles.yml
17:20:41.920517 [info ]: Loading ~/.dbt/profiles.yml
17:24:09.031097 [info ]: Loading ~/.dbt/profiles.yml
17:24:16.604062 [info ]: Loading ~/.dbt/profiles.yml
17:25:08.534530 [info ]: Loading ~/.dbt/profiles.yml
17:25:16.467838 [info ]: Loading ~/.dbt/profiles.yml
17:27:06.316040 [info ]: Loading ~/.dbt/profiles.yml
17:28:02.202860 [info ]: Loading ~/.dbt/profiles.yml
17:28:10.138430 [info ]: Loading ~/.dbt/profiles.yml
17:28:23.802059 [info ]: Loading ~/.dbt/profiles.yml
17:32:33.377755 [info ]: Loading ~/.dbt/profiles.yml
17:32:46.306265 [info ]: Loading ~/.dbt/profiles.yml
17:32:53.157741 [info ]: Loading ~/.dbt/profiles.yml
17:33:51.182949 [info ]: Loading ~/.dbt/profiles.yml
17:33:58.717918 [info ]: Loading ~/.dbt/profiles.yml
17:34:06.950138 [info ]: Loading ~/.dbt/profiles.yml
17:35:41.080650 [info ]: Loading ~/.dbt/profiles.yml
17:35:55.968597 [info ]: Loading ~/.dbt/profiles.yml
17:36:01.860978 [info ]: Loading ~/.dbt/profiles.yml
17:37:28.421284 [info ]: Loading ~/.dbt/profiles.yml
17:37:32.776884 [info ]: Loading ~/.dbt/profiles.yml
17:40:20.135897 [info ]: Loading ~/.dbt/profiles.yml
17:40:40.901437 [info ]: Loading ~/.dbt/profiles.yml
17:40:46.424757 [info ]: Loading ~/.dbt/profiles.yml
==================== 2026-06-28T18:50:16.436912Z | 00000000-0000-0000-0000-000000000000 ====================
==================== 2026-06-28T18:50:16.439713Z | ca9ce310-8edf-4627-872a-92d0462982c7 ====================
18:50:16.440218 [info ]: Starting dbt LSP server
18:50:16.440434 [info ]: Connecting to LSP client on port 8000
18:50:16.440695 [info ]: Successfully connected to LSP client
18:50:16.440872 [info ]: Creating LSP service...
18:50:16.517260 [info ]: Creating LSP server...
18:50:16.517286 [info ]: Starting LSP server...
18:50:25.229130 [info ]: Loading ~/.dbt/profiles.yml
18:55:12.622500 [info ]: Loading ~/.dbt/profiles.yml
18:55:33.398380 [info ]: Loading ~/.dbt/profiles.yml
19:00:52.661779 [info ]: Loading ~/.dbt/profiles.yml
19:00:53.598225 [info ]: Loading ~/.dbt/profiles.yml
19:01:14.949578 [info ]: Loading ~/.dbt/profiles.yml
