region,age_group,gender,year,growth_index
North,45-69,Male,2032,1.2299
North,45-69,Male,2033,1.2668
North,45-69,Male,2034,1.3048
North,45-69,Male,2035,1.3439
North,45-69,Male,2036,1.3842
North,45-69,Male,2037,1.4258
North,45-69,Male,2038,1.4685
North,45-69,Male,2039,1.5126
North,45-69,Male,2040,1.558
North,70+,Female,2025,1.0
North,70+,Female,2026,1.045
North,70+,Female,2027,1.092
North,70+,Female,2028,1.1412
North,70+,Female,2029,1.1925
North,70+,Female,2030,1.2462
North,70+,Female,2031,1.3023
North,70+,Female,2032,1.3609
North,70+,Female,2033,1.4221
North,70+,Female,2034,1.4861
North,70+,Female,2035,1.553
North,70+,Female,2036,1.6229
North,70+,Female,2037,1.6959
North,70+,Female,2038,1.7722
North,70+,Female,2039,1.8519
North,70+,Female,2040,1.9353
North,70+,Male,2025,1.0
North,70+,Male,2026,1.044
North,70+,Male,2027,1.0899
North,70+,Male,2028,1.1379
North,70+,Male,2029,1.188
North,70+,Male,2030,1.2402
North,70+,Male,2031,1.2948
North,70+,Male,2032,1.3518
North,70+,Male,2033,1.4113
North,70+,Male,2034,1.4733
North,70+,Male,2035,1.5382
North,70+,Male,2036,1.6059
North,70+,Male,2037,1.6765
North,70+,Male,2038,1.7503
North,70+,Male,2039,1.8273
North,70+,Male,2040,1.9077
Central,0-17,Female,2025,1.0
Central,0-17,Female,2026,1.024
Central,0-17,Female,2027,1.0486
Central,0-17,Female,2028,1.0737
Central,0-17,Female,2029,1.0995
Central,0-17,Female,2030,1.1259
Central,0-17,Female,2031,1.1529
Central,0-17,Female,2032,1.1806
Central,0-17,Female,2033,1.2089
Central,0-17,Female,2034,1.2379
Central,0-17,Female,2035,1.2677
Central,0-17,Female,2036,1.2981
Central,0-17,Female,2037,1.3292
Central,0-17,Female,2038,1.3611
Central,0-17,Female,2039,1.3938
Central,0-17,Female,2040,1.4272
Central,0-17,Male,2025,1.0
Central,0-17,Male,2026,1.023
Central,0-17,Male,2027,1.0465
Central,0-17,Male,2028,1.0706
Central,0-17,Male,2029,1.0952
Central,0-17,Male,2030,1.1204
Central,0-17,Male,2031,1.1462
Central,0-17,Male,2032,1.1725
Central,0-17,Male,2033,1.1995
Central,0-17,Male,2034,1.2271
Central,0-17,Male,2035,1.2553
Central,0-17,Male,2036,1.2842
Central,0-17,Male,2037,1.3137
Central,0-17,Male,2038,1.344
Central,0-17,Male,2039,1.3749
Central,0-17,Male,2040,1.4065
Central,18-44,Female,2025,1.0
Central,18-44,Female,2026,1.029
Central,18-44,Female,2027,1.0588
Central,18-44,Female,2028,1.0895
Central,18-44,Female,2029,1.1211
Central,18-44,Female,2030,1.1537
Central,18-44,Female,2031,1.1871
Central,18-44,Female,2032,1.2215
Central,18-44,Female,2033,1.257
Central,18-44,Female,2034,1.2934
Central,18-44,Female,2035,1.3309
Central,18-44,Female,2036,1.3695
Central,18-44,Female,2037,1.4092
Central,18-44,Female,2038,1.4501
Central,18-44,Female,2039,1.4922
Central,18-44,Female,2040,1.5354
Central,18-44,Male,2025,1.0
Central,18-44,Male,2026,1.028
Central,18-44,Male,2027,1.0568
Central,18-44,Male,2028,1.0864
Central,18-44,Male,2029,1.1168
Central,18-44,Male,2030,1.1481
Central,18-44,Male,2031,1.1802
Central,18-44,Male,2032,1.2133
Central,18-44,Male,2033,1.2472
Central,18-44,Male,2034,1.2821
Central,18-44,Male,2035,1.318
Central,18-44,Male,2036,1.355
Central,18-44,Male,2037,1.3929
Central,18-44,Male,2038,1.4319
Central,18-44,Male,2039,1.472
Central,18-44,Male,2040,1.5132
Central,45-69,Female,2025,1.0
Central,45-69,Female,2026,1.035
Central,45-69,Female,2027,1.0712
Central,45-69,Female,2028,1.1087
Central,45-69,Female,2029,1.1475
Central,45-69,Female,2030,1.1877
Central,45-69,Female,2031,1.2293
Central,45-69,Female,2032,1.2723
Central,45-69,Female,2033,1.3168
Central,45-69,Female,2034,1.3629
Central,45-69,Female,2035,1.4106
Central,45-69,Female,2036,1.46
Central,45-69,Female,2037,1.5111
Central,45-69,Female,2038,1.564
Central,45-69,Female,2039,1.6187
Central,45-69,Female,2040,1.6753
Central,45-69,Male,2025,1.0
Central,45-69,Male,2026,1.034
Central,45-69,Male,2027,1.0692
Central,45-69,Male,2028,1.1055
Central,45-69,Male,2029,1.1431
Central,45-69,Male,2030,1.182
Central,45-69,Male,2031,1.2221
Central,45-69,Male,2032,1.2637
Central,45-69,Male,2033,1.3067
Central,45-69,Male,2034,1.3511
Central,45-69,Male,2035,1.397
Central,45-69,Male,2036,1.4445
Central,45-69,Male,2037,1.4936
Central,45-69,Male,2038,1.5444
Central,45-69,Male,2039,1.5969
Central,45-69,Male,2040,1.6512
Central,70+,Female,2025,1.0
Central,70+,Female,2026,1.049
Central,70+,Female,2027,1.1004
Central,70+,Female,2028,1.1543
Central,70+,Female,2029,1.2109
Central,70+,Female,2030,1.2702
Central,70+,Female,2031,1.3325
Central,70+,Female,2032,1.3977
Central,70+,Female,2033,1.4662
Central,70+,Female,2034,1.5381
Central,70+,Female,2035,1.6134
Central,70+,Female,2036,1.6925
Central,70+,Female,2037,1.7754
Central,70+,Female,2038,1.8624
Central,70+,Female,2039,1.9537
Central,70+,Female,2040,2.0494
Central,70+,Male,2025,1.0
Central,70+,Male,2026,1.048
Central,70+,Male,2027,1.0983
Central,70+,Male,2028,1.151
Central,70+,Male,2029,1.2063
Central,70+,Male,2030,1.2642
Central,70+,Male,2031,1.3249
Central,70+,Male,2032,1.3884
Central,70+,Male,2033,1.4551
Central,70+,Male,2034,1.5249
Central,70+,Male,2035,1.5981
Central,70+,Male,2036,1.6748
Central,70+,Male,2037,1.7552
Central,70+,Male,2038,1.8395
Central,70+,Male,2039,1.9278
Central,70+,Male,2040,2.0203
South,0-17,Female,2025,1.0
South,0-17,Female,2026,1.018
South,0-17,Female,2027,1.0363
South,0-17,Female,2028,1.055
South,0-17,Female,2029,1.074
South,0-17,Female,2030,1.0933
South,0-17,Female,2031,1.113
South,0-17,Female,2032,1.133
South,0-17,Female,2033,1.1534
South,0-17,Female,2034,1.1742
South,0-17,Female,2035,1.1953
South,0-17,Female,2036,1.2168
South,0-17,Female,2037,1.2387
South,0-17,Female,2038,1.261
South,0-17,Female,2039,1.2837
South,0-17,Female,2040,1.3068
South,0-17,Male,2025,1.0
South,0-17,Male,2026,1.017
South,0-17,Male,2027,1.0343
South,0-17,Male,2028,1.0519
South,0-17,Male,2029,1.0698
South,0-17,Male,2030,1.0879
South,0-17,Male,2031,1.1064
South,0-17,Male,2032,1.1252
South,0-17,Male,2033,1.1444
South,0-17,Male,2034,1.1638
South,0-17,Male,2035,1.1836
South,0-17,Male,2036,1.2037
South,0-17,Male,2037,1.2242
South,0-17,Male,2038,1.245
South,0-17,Male,2039,1.2662
South,0-17,Male,2040,1.2877
South,18-44,Female,2025,1.0
South,18-44,Female,2026,1.023
South,18-44,Female,2027,1.0465
South,18-44,Female,2028,1.0706
South,18-44,Female,2029,1.0952
South,18-44,Female,2030,1.1204
South,18-44,Female,2031,1.1462
South,18-44,Female,2032,1.1725
South,18-44,Female,2033,1.1995
South,18-44,Female,2034,1.2271
South,18-44,Female,2035,1.2553
South,18-44,Female,2036,1.2842
South,18-44,Female,2037,1.3137
South,18-44,Female,2038,1.344
South,18-44,Female,2039,1.3749
South,18-44,Female,2040,1.4065
South,18-44,Male,2025,1.0
South,18-44,Male,2026,1.022
South,18-44,Male,2027,1.0445
South,18-44,Male,2028,1.0675
South,18-44,Male,2029,1.0909
South,18-44,Male,2030,1.1149
South,18-44,Male,2031,1.1395
South,18-44,Male,2032,1.1645
South,18-44,Male,2033,1.1902
South,18-44,Male,2034,1.2163
South,18-44,Male,2035,1.2431
South,18-44,Male,2036,1.2705
South,18-44,Male,2037,1.2984
South,18-44,Male,2038,1.327
South,18-44,Male,2039,1.3562
South,18-44,Male,2040,1.386
South,45-69,Female,2025,1.0
South,45-69,Female,2026,1.029
South,45-69,Female,2027,1.0588
South,45-69,Female,2028,1.0895
South,45-69,Female,2029,1.1211
South,45-69,Female,2030,1.1537
South,45-69,Female,2031,1.1871
South,45-69,Female,2032,1.2215
South,45-69,Female,2033,1.257
South,45-69,Female,2034,1.2934
South,45-69,Female,2035,1.3309
South,45-69,Female,2036,1.3695
South,45-69,Female,2037,1.4092
South,45-69,Female,2038,1.4501
South,45-69,Female,2039,1.4922
South,45-69,Female,2040,1.5354
South,45-69,Male,2025,1.0
South,45-69,Male,2026,1.028
South,45-69,Male,2027,1.0568
South,45-69,Male,2028,1.0864
South,45-69,Male,2029,1.1168
South,45-69,Male,2030,1.1481
South,45-69,Male,2031,1.1802
South,45-69,Male,2032,1.2133
South,45-69,Male,2033,1.2472
South,45-69,Male,2034,1.2821
South,45-69,Male,2035,1.318
South,45-69,Male,2036,1.355
South,45-69,Male,2037,1.3929
South,45-69,Male,2038,1.4319
South,45-69,Male,2039,1.472
South,45-69,Male,2040,1.5132
South,70+,Female,2025,1.0
South,70+,Female,2026,1.043
South,70+,Female,2027,1.0878
South,70+,Female,2028,1.1346
South,70+,Female,2029,1.1834
South,70+,Female,2030,1.2343
South,70+,Female,2031,1.2874
South,70+,Female,2032,1.3427
South,70+,Female,2033,1.4005
South,70+,Female,2034,1.4607
South,70+,Female,2035,1.5235
South,70+,Female,2036,1.589
South,70+,Female,2037,1.6573
South,70+,Female,2038,1.7286
South,70+,Female,2039,1.8029
South,70+,Female,2040,1.8805
South,70+,Male,2025,1.0
South,70+,Male,2026,1.042
South,70+,Male,2027,1.0858
South,70+,Male,2028,1.1314
South,70+,Male,2029,1.1789
South,70+,Male,2030,1.2284
South,70+,Male,2031,1.28
South,70+,Male,2032,1.3337
South,70+,Male,2033,1.3898
South,70+,Male,2034,1.4481
South,70+,Male,2035,1.509
South,70+,Male,2036,1.5723
South,70+,Male,2037,1.6384
South,70+,Male,2038,1.7072
South,70+,Male,2039,1.7789
South,70+,Male,2040,1.8536
